ID,Ticker,Date,Headline,Summary
,EXC,2023-11-21T15:00:39Z,The Latest Analyst Ratings for Exelon, 
,EXC,2023-12-04T14:45:14Z,P/E Ratio Insights for Exelon, 
,EXC,2023-12-13T13:15:14Z,How Is The Market Feeling About Exelon?, 
,EXC,2023-12-14T18:30:32Z,Watching Shares Of Utility Companies Exelon And Ameren; Hearing Traders Circulate Illinois Commerce Commission Rejected Their 4-Year Grid Plans Because Of Transparency Concerns And Failure To Meet Equity And Clean Energy Goals; Shares Trading Lower,
,EXC,2023-12-15T13:35:35Z,"Guggenheim Downgrades Exelon to Neutral, Announces $40 Price Target",
,EXC,2023-12-15T14:00:25Z,Analyst Expectations for Exelon's Future, 
,EXC,2023-12-15T18:21:12Z,Evercore ISI Group Downgrades Exelon to In-Line,
,EXC,2023-12-15T19:04:14Z,"US Stocks Mark 7th Week Of Gains, Nasdaq Moves Closer To All-Time Highs: What's Driving Markets Friday?","U.S. stocks are poised to close their seventh consecutive week of gains, marking their longest winning streak since October 2017.



In Friday’s session, the S&amp;P 500 index hovered around the flatline at 1 p.m. in New York, while the Nasdaq 100 rose by 0.4%, getting closer to retesting their all-time highs."
,EXC,2023-12-18T11:04:24Z,"Morgan Stanley Downgrades Exelon to Equal-Weight, Lowers Price Target to $38",
,EXC,2023-12-18T13:15:37Z,Snap To Rally Around 36%? Here Are 10 Top Analyst Forecasts For Monday,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page."
,EXC,2023-12-18T16:59:36Z,"Mizuho Maintains Neutral on Exelon, Lowers Price Target to $36",
,EXC,2023-12-18T22:30:34Z,"Illinois Commerce Commission Rejects ComEd's Grid Plan, Requiring ComEd To File Revised Grid Plan By March 13, 2024 - Filing",
,EXC,2023-12-18T22:31:26Z,Exelon Reaffirms 2023 Adjusted Operating EPS Guidance Range Of $2.32-$2.40 - Filing,
,EXC,2023-12-19T15:45:26Z,"RBC Capital Maintains Sector Perform on Exelon, Lowers Price Target to $38",
,EXC,2024-01-02T13:48:15Z,"UBS Downgrades Exelon to Neutral, Lowers Price Target to $37",
