Ticker,Metric,CoveragePct,Taxonomy,Concept,UnitCount,EntryCount
TSLA,EPS,95.24,us-gaap,PreferredStockParOrStatedValuePerShare,1,120
TSLA,EPS,95.24,us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,1,119
TSLA,EPS,95.24,us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,1,119
TSLA,TotalDebt,95.24,us-gaap,AmortizationOfDebtDiscountPremium,1,84
TSLA,TotalDebt,95.24,us-gaap,LongTermDebt,1,76
TSLA,TotalDebt,95.24,us-gaap,DebtCurrent,1,73
TSLA,TotalDebt,95.24,us-gaap,DebtInstrumentCarryingAmount,1,73
TSLA,TotalDebt,95.24,us-gaap,DebtInstrumentUnusedBorrowingCapacityAmount,1,73
TSLA,TotalDebt,95.24,us-gaap,IncrementalCommonSharesAttributableToConversionOfDebtSecurities,1,70
TSLA,TotalDebt,95.24,us-gaap,RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,1,57
TSLA,TotalDebt,95.24,us-gaap,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,1,57
TSLA,TotalDebt,95.24,us-gaap,FinanceLeaseLiabilityCurrent,1,52
TSLA,TotalDebt,95.24,us-gaap,FinanceLeaseLiabilityNoncurrent,1,52
TSLA,TotalDebt,95.24,us-gaap,OperatingLeaseLiabilityCurrent,1,52
TSLA,TotalDebt,95.24,us-gaap,OperatingLeaseLiabilityNoncurrent,1,52
TSLA,TotalDebt,95.24,us-gaap,CapitalLeaseObligationsCurrent,1,46
TSLA,TotalDebt,95.24,us-gaap,CapitalLeaseObligationsNoncurrent,1,46
TSLA,TotalDebt,95.24,us-gaap,DeferredRentCreditNoncurrent,1,46
TSLA,TotalDebt,95.24,us-gaap,AvailableForSaleSecuritiesDebtSecurities,1,30
TSLA,TotalDebt,95.24,us-gaap,DeferredTaxAssetsTaxCreditCarryforwardsResearch,1,30
TSLA,TotalDebt,95.24,us-gaap,LongTermDebtNoncurrent,1,28
TSLA,TotalDebt,95.24,us-gaap,DebtRelatedCommitmentFeesAndDebtIssuanceCosts,1,27
TSLA,TotalDebt,95.24,us-gaap,DebtInstrumentFaceAmount,1,26
BRK-A,Revenue,47.62,us-gaap,Revenues,1,303
BRK-A,Revenue,47.62,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1,280
BRK-A,Revenue,47.62,us-gaap,NetIncomeLossAttributableToNoncontrollingInterest,1,215
BRK-A,Revenue,47.62,us-gaap,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,1,211
BRK-A,Revenue,47.62,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1,189
BRK-A,Revenue,47.62,us-gaap,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1,172
BRK-A,Revenue,47.62,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1,146
BRK-A,Revenue,47.62,us-gaap,MinorityInterest,1,132
BRK-A,Revenue,47.62,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,94
BRK-A,Revenue,47.62,us-gaap,RevenueNotFromContractWithCustomer,1,84
BRK-A,Revenue,47.62,us-gaap,FinancingReceivableBeforeAllowanceForCreditLossAndFee,1,48
BRK-A,Revenue,47.62,us-gaap,FinancingReceivableUnamortizedLoanCommitmentOriginationFeeAndPremiumDiscount,1,48
BRK-A,Revenue,47.62,us-gaap,InterestExpense,1,43
BRK-A,Revenue,47.62,us-gaap,PaymentsToAcquireBusinessesAndInterestInAffiliates,1,38
BRK-A,Revenue,47.62,us-gaap,SegmentReportingInformationRevenue,1,28
BRK-A,Revenue,47.62,us-gaap,SalesRevenueNet,1,12
BRK-A,Revenue,47.62,us-gaap,SegmentReportingReconcilingItemsRevenue,1,11
BRK-A,Revenue,47.62,us-gaap,SegmentReportingSegmentRevenue,1,11
BRK-A,Revenue,47.62,us-gaap,LoansAndLeasesReceivableBeforeFeesGross,1,10
BRK-A,Revenue,47.62,us-gaap,UnamortizedLoanCommitmentAndOriginationFeesAndUnamortizedDiscountsOrPremiums,1,10
BRK-A,Equity,50.0,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1,280
BRK-A,Equity,50.0,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1,189
BRK-A,Equity,50.0,us-gaap,IncomeLossFromEquityMethodInvestments,1,141
BRK-A,Equity,50.0,us-gaap,StockholdersEquity,1,133
BRK-A,Equity,50.0,us-gaap,LiabilitiesAndStockholdersEquity,1,132
BRK-A,Equity,50.0,us-gaap,EquitySecuritiesFvNiRealizedGainLoss,1,95
BRK-A,Equity,50.0,us-gaap,EquitySecuritiesFvNiUnrealizedGainLoss,1,95
BRK-A,Equity,50.0,us-gaap,EquitySecuritiesFvNiGainLoss,1,91
BRK-A,Equity,50.0,us-gaap,EquitySecuritiesFvNi,1,62
BRK-A,Equity,50.0,us-gaap,EquitySecuritiesFvNiCost,1,62
BRK-A,Equity,50.0,us-gaap,PaymentsToAcquireAvailableForSaleSecuritiesEquity,1,59
BRK-A,Equity,50.0,us-gaap,AvailableForSaleSecuritiesEquitySecurities,1,50
BRK-A,Equity,50.0,us-gaap,AvailableForSaleEquitySecuritiesAmortizedCostBasis,1,46
BRK-A,Equity,50.0,us-gaap,EquityMethodInvestmentDividendsOrDistributions,1,46
BRK-A,Equity,50.0,us-gaap,EquityMethodInvestments,1,31
BRK-A,Equity,50.0,us-gaap,AvailableForSaleEquitySecuritiesAccumulatedGrossUnrealizedGainBeforeTax,1,30
BRK-A,Equity,50.0,us-gaap,AvailableForSaleEquitySecuritiesAccumulatedGrossUnrealizedLossBeforeTax,1,30
BRK-A,Equity,50.0,us-gaap,PaymentsToAcquireEquitySecuritiesFvNi,1,25
BRK-A,Equity,50.0,us-gaap,ProceedsFromSaleOfEquitySecuritiesFvNi,1,25
BRK-A,Equity,50.0,us-gaap,ProceedsFromSaleOfAvailableForSaleSecuritiesEquity,1,24
BRK-A,EPS,47.62,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1,189
BRK-A,EPS,47.62,us-gaap,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,1,167
BRK-A,EPS,47.62,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,1,149
BRK-A,EPS,47.62,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1,146
BRK-A,EPS,47.62,us-gaap,RetainedEarningsAccumulatedDeficit,1,133
BRK-A,EPS,47.62,us-gaap,GoodwillAcquiredDuringPeriod,1,121
BRK-A,EPS,47.62,us-gaap,EffectiveIncomeTaxRateContinuingOperations,1,116
BRK-A,EPS,47.62,us-gaap,NetCashProvidedByUsedInOperatingActivities,1,93
BRK-A,EPS,47.62,us-gaap,IncreaseDecreaseInOtherOperatingAssets,1,92
BRK-A,EPS,47.62,us-gaap,IncreaseDecreaseInOtherOperatingLiabilities,1,92
BRK-A,EPS,47.62,us-gaap,LiabilityForClaimsAndClaimsAdjustmentExpensePropertyCasualtyLiability,1,88
BRK-A,EPS,47.62,us-gaap,OperatingLeaseLeaseIncome,1,82
BRK-A,EPS,47.62,us-gaap,OperatingLeaseLeaseIncomeLeasePayments,1,82
BRK-A,EPS,47.62,us-gaap,OperatingLeaseVariableLeaseIncome,1,82
BRK-A,EPS,47.62,us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,1,82
BRK-A,EPS,47.62,us-gaap,CashAndCashEquivalentsPeriodIncreaseDecrease,1,77
BRK-A,EPS,47.62,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,1,72
BRK-A,EPS,47.62,us-gaap,OperatingLeasesIncomeStatementDepreciationExpenseOnPropertySubjectToOrHeldForLease,1,63
BRK-A,EPS,47.62,us-gaap,IncreaseDecreaseInOtherOperatingCapitalNet,1,57
BRK-A,EPS,47.62,us-gaap,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1,56
