Ticker,Company_name,CUSIP,source,Market_Cap
AZTA,AZENTA INC,114340102,sp600_row_341.csv,986637952.0
AZZ,AZZ INC,002474104,sp600_row_341.csv,3721067008.0
BA,BOEING CO/THE,097023105,"dow_row_179.csv, dow_row_31.csv, sp500_row_504.csv",164940824576.0
BABA,ALIBABA GROUP HOLDING SP ADR,01609W102,dow_row_179.csv,322802089984.0
BAC,BANK OF AMERICA CORP,060505104,"dow_row_179.csv, sp500_row_504.csv",341172617216.0
BAH,Booz Allen Hamilton Holding Corporation Class A,099502106,sp400_row_400.csv,9438922752.0
BALL,BALL CORP,058498106,sp500_row_504.csv,16666124288.0
BANF,BANCFIRST CORP,05945F103,sp600_row_341.csv,3557793024.0
BAX,BAXTER INTERNATIONAL INC,071813109,"dow_row_179.csv, sp500_row_504.csv",8952126464.0
BBVA,BANCO BILBAO VIZCAYA ARGENTA,550190904,dow_row_179.csv,116129103872.0
BBWI,Bath & Body Works Inc.,070830104,sp400_row_400.csv,4020657920.0
BBY,BEST BUY CO INC,086516101,sp500_row_504.csv,13150237696.0
BC,Brunswick Corporation,117043109,sp400_row_400.csv,4481671680.0
BCO,Brink's Company,109696104,sp400_row_400.csv,4448276992.0
BCPC,BALCHEM CORP,057665200,sp600_row_341.csv,5474249728.0
BDC,Belden Inc.,077454106,sp400_row_400.csv,4501052928.0
BDX,BECTON DICKINSON AND CO,075887109,sp500_row_504.csv,57735348224.0
BEN,FRANKLIN RESOURCES INC,354613101,sp500_row_504.csv,12581156864.0
BF-B,BROWN FORMAN CORP CLASS B,115637209,sp500_row_504.csv,10774947840.0
BFS,SAUL CENTERS INC,804395101,sp600_row_341.csv,1140478848.0
BG,BUNGE GLOBAL SA,H11356104,sp500_row_504.csv,24136388608.0
BGC,BGC GROUP INC A,088929104,sp600_row_341.csv,4538687488.0
BHF,Brighthouse Financial Inc.,10922N103,sp400_row_400.csv,3444198400.0
BHP,BHP GROUP LTD,614469005,dow_row_179.csv,175255420928.0
BIIB,BIOGEN INC,09062X103,sp500_row_504.csv,26644011008.0
BILL,BILL Holdings Inc.,090043100,sp400_row_400.csv,3985234432.0
BIO,Bio-Rad Laboratories Inc. Class A,090572207,sp400_row_400.csv,7093075456.0
BJ,BJ's Wholesale Club Holdings Inc.,05550J101,sp400_row_400.csv,12874940416.0
BJRI,BJ S RESTAURANTS INC,09180C106,sp600_row_341.csv,708409984.0
BK,BANK OF NEW YORK MELLON CORP,064058100,"dow_row_179.csv, sp500_row_504.csv",81011048448.0
BKE,BUCKLE INC/THE,118440106,sp600_row_341.csv,2572155136.0
BKH,Black Hills Corporation,092113109,sp400_row_400.csv,5468907520.0
BKNG,BOOKING HOLDINGS INC,09857L108,"dow_row_179.csv, sp500_row_504.csv",136711987200.0
BKR,BAKER HUGHES CO,05722G100,sp500_row_504.csv,53621710848.0
BKU,BANKUNITED INC,06652K103,sp600_row_341.csv,3215350528.0
BL,BLACKLINE INC,09239B109,sp600_row_341.csv,2195921408.0
BLD,TopBuild Corp.,89055F103,sp400_row_400.csv,10333116416.0
BLDR,BUILDERS FIRSTSOURCE INC,12008R107,sp500_row_504.csv,9743200256.0
BLFS,BIOLIFE SOLUTIONS INC,09062W204,sp600_row_341.csv,886788032.0
BLK,BLACKROCK INC,09290D101,sp500_row_504.csv,143737487360.0
BLKB,Blackbaud Inc.,09227Q100,sp400_row_400.csv,2106138880.0
BMI,BADGER METER INC,056525108,sp600_row_341.csv,4319975424.0
BMRN,BioMarin Pharmaceutical Inc.,09061G101,sp400_row_400.csv,11252839424.0
BMY,BRISTOL MYERS SQUIBB CO,110122108,sp500_row_504.csv,120314871808.0
BOOT,BOOT BARN HOLDINGS INC,099406100,sp600_row_341.csv,5002669056.0
BOX,BOX INC   CLASS A,10316T104,sp600_row_341.csv,3564940544.0
