Ticker,Granger_pvalue_lag_1_NEWS_TEXTBLOB_Polarity_Mean,Granger_alpha_lag_1_NEWS_TEXTBLOB_Polarity_Mean,Granger_beta_lag_1_NEWS_TEXTBLOB_Polarity_Mean,Granger_pvalue_lag_2_NEWS_TEXTBLOB_Polarity_Mean,Granger_alpha_lag_2_NEWS_TEXTBLOB_Polarity_Mean,Granger_beta_lag_2_NEWS_TEXTBLOB_Polarity_Mean,Granger_pvalue_lag_3_NEWS_TEXTBLOB_Polarity_Mean,Granger_alpha_lag_3_NEWS_TEXTBLOB_Polarity_Mean,Granger_beta_lag_3_NEWS_TEXTBLOB_Polarity_Mean,Granger_pvalue_lag_4_NEWS_TEXTBLOB_Polarity_Mean,Granger_alpha_lag_4_NEWS_TEXTBLOB_Polarity_Mean,Granger_beta_lag_4_NEWS_TEXTBLOB_Polarity_Mean,Granger_pvalue_lag_5_NEWS_TEXTBLOB_Polarity_Mean,Granger_alpha_lag_5_NEWS_TEXTBLOB_Polarity_Mean,Granger_beta_lag_5_NEWS_TEXTBLOB_Polarity_Mean,Granger_pvalue_lag_1_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_alpha_lag_1_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_beta_lag_1_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_pvalue_lag_2_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_alpha_lag_2_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_beta_lag_2_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_pvalue_lag_3_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_alpha_lag_3_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_beta_lag_3_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_pvalue_lag_4_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_alpha_lag_4_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_beta_lag_4_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_pvalue_lag_5_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_alpha_lag_5_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_beta_lag_5_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_pvalue_lag_1_NEWS_FINBERT_Negative_Mean,Granger_alpha_lag_1_NEWS_FINBERT_Negative_Mean,Granger_beta_lag_1_NEWS_FINBERT_Negative_Mean,Granger_pvalue_lag_2_NEWS_FINBERT_Negative_Mean,Granger_alpha_lag_2_NEWS_FINBERT_Negative_Mean,Granger_beta_lag_2_NEWS_FINBERT_Negative_Mean,Granger_pvalue_lag_3_NEWS_FINBERT_Negative_Mean,Granger_alpha_lag_3_NEWS_FINBERT_Negative_Mean,Granger_beta_lag_3_NEWS_FINBERT_Negative_Mean,Granger_pvalue_lag_4_NEWS_FINBERT_Negative_Mean,Granger_alpha_lag_4_NEWS_FINBERT_Negative_Mean,Granger_beta_lag_4_NEWS_FINBERT_Negative_Mean,Granger_pvalue_lag_5_NEWS_FINBERT_Negative_Mean,Granger_alpha_lag_5_NEWS_FINBERT_Negative_Mean,Granger_beta_lag_5_NEWS_FINBERT_Negative_Mean,Granger_pvalue_lag_1_NEWS_FINBERT_Neutral_Mean,Granger_alpha_lag_1_NEWS_FINBERT_Neutral_Mean,Granger_beta_lag_1_NEWS_FINBERT_Neutral_Mean,Granger_pvalue_lag_2_NEWS_FINBERT_Neutral_Mean,Granger_alpha_lag_2_NEWS_FINBERT_Neutral_Mean,Granger_beta_lag_2_NEWS_FINBERT_Neutral_Mean,Granger_pvalue_lag_3_NEWS_FINBERT_Neutral_Mean,Granger_alpha_lag_3_NEWS_FINBERT_Neutral_Mean,Granger_beta_lag_3_NEWS_FINBERT_Neutral_Mean,Granger_pvalue_lag_4_NEWS_FINBERT_Neutral_Mean,Granger_alpha_lag_4_NEWS_FINBERT_Neutral_Mean,Granger_beta_lag_4_NEWS_FINBERT_Neutral_Mean,Granger_pvalue_lag_5_NEWS_FINBERT_Neutral_Mean,Granger_alpha_lag_5_NEWS_FINBERT_Neutral_Mean,Granger_beta_lag_5_NEWS_FINBERT_Neutral_Mean,Granger_pvalue_lag_1_NEWS_FINBERT_Positive_Mean,Granger_alpha_lag_1_NEWS_FINBERT_Positive_Mean,Granger_beta_lag_1_NEWS_FINBERT_Positive_Mean,Granger_pvalue_lag_2_NEWS_FINBERT_Positive_Mean,Granger_alpha_lag_2_NEWS_FINBERT_Positive_Mean,Granger_beta_lag_2_NEWS_FINBERT_Positive_Mean,Granger_pvalue_lag_3_NEWS_FINBERT_Positive_Mean,Granger_alpha_lag_3_NEWS_FINBERT_Positive_Mean,Granger_beta_lag_3_NEWS_FINBERT_Positive_Mean,Granger_pvalue_lag_4_NEWS_FINBERT_Positive_Mean,Granger_alpha_lag_4_NEWS_FINBERT_Positive_Mean,Granger_beta_lag_4_NEWS_FINBERT_Positive_Mean,Granger_pvalue_lag_5_NEWS_FINBERT_Positive_Mean,Granger_alpha_lag_5_NEWS_FINBERT_Positive_Mean,Granger_beta_lag_5_NEWS_FINBERT_Positive_Mean,Granger_pvalue_lag_1_TEXTBLOB,Granger_alpha_lag_1_TEXTBLOB,Granger_beta1_lag_1_TEXTBLOB,Granger_beta2_lag_1_TEXTBLOB,Granger_pvalue_lag_2_TEXTBLOB,Granger_alpha_lag_2_TEXTBLOB,Granger_beta1_lag_2_TEXTBLOB,Granger_beta2_lag_2_TEXTBLOB,Granger_pvalue_lag_3_TEXTBLOB,Granger_alpha_lag_3_TEXTBLOB,Granger_beta1_lag_3_TEXTBLOB,Granger_beta2_lag_3_TEXTBLOB,Granger_pvalue_lag_1_FINBERT,Granger_alpha_lag_1_FINBERT,Granger_beta1_lag_1_FINBERT,Granger_beta2_lag_1_FINBERT,Granger_beta3_lag_1_FINBERT,Granger_pvalue_lag_2_FINBERT,Granger_alpha_lag_2_FINBERT,Granger_beta1_lag_2_FINBERT,Granger_beta2_lag_2_FINBERT,Granger_beta3_lag_2_FINBERT,Granger_pvalue_lag_3_FINBERT,Granger_alpha_lag_3_FINBERT,Granger_beta1_lag_3_FINBERT,Granger_beta2_lag_3_FINBERT,Granger_beta3_lag_3_FINBERT
B,0.673783,0.9940458,0.3200227,0.7511384,1.0562888,0.380978,0.7690308,1.0362839,0.4772536,0.5846166,1.0666009,0.3443278,0.522292,1.0588408,0.2849851,0.5690898,0.9940458,0.3200227,0.2233238,1.0562888,0.380978,0.2316997,1.0362839,0.4772536,0.2713607,1.0666009,0.3443278,0.245408,1.0588408,0.2849851,0.990118,0.9940458,0.3200227,0.5188322,1.0562888,0.380978,0.8509903,1.0362839,0.4772536,0.4392438,1.0666009,0.3443278,0.4579567,1.0588408,0.2849851,0.8220105,0.9940458,0.3200227,0.9649954,1.0562888,0.380978,0.8596587,1.0362839,0.4772536,0.8857949,1.0666009,0.3443278,0.2682243,1.0588408,0.2849851,0.820889,0.9940458,0.3200227,0.4759447,1.0562888,0.380978,0.5232411,1.0362839,0.4772536,0.211021,1.0666009,0.3443278,0.1056497,1.0588408,0.2849851,0.6496056,0.1544703,-0.9360202,-0.4994365,0.984288,0.1544703,-0.0414956,1.1656259,0.8807963,0.1544703,0.3215368,1.2049178,0.9513164,-686.9558279,-298.9082436,-298.8926066,-299.082803,0.4539396,-686.9558279,-3458.1154413,-3457.9009722,-3457.3222546,0.3581553,-686.9558279,4444.4372294,4444.4474852,4443.5920662
BA,0.8784788,0.9466623,10.4424136,0.9884072,0.9653994,10.6175548,0.9329794,0.9650868,10.4248422,0.8313025,0.9672028,11.4270118,0.8548825,0.9610757,12.1840045,0.1297234,0.9466623,10.4424136,0.3138911,0.9653994,10.6175548,0.4851128,0.9650868,10.4248422,0.5279659,0.9672028,11.4270118,0.6626458,0.9610757,12.1840045,0.6491366,0.9466623,10.4424136,0.8800678,0.9653994,10.6175548,0.9456724,0.9650868,10.4248422,0.6041051,0.9672028,11.4270118,0.511943,0.9610757,12.1840045,0.0310245,0.9466623,10.4424136,0.0780701,0.9653994,10.6175548,0.0201058,0.9650868,10.4248422,0.0289889,0.9672028,11.4270118,0.0240537,0.9610757,12.1840045,0.1157905,0.9466623,10.4424136,0.1607548,0.9653994,10.6175548,0.0935174,0.9650868,10.4248422,0.149324,0.9672028,11.4270118,0.0743775,0.9610757,12.1840045,0.5670158,7.5958259,-8.6253639,14.0654081,0.9210822,7.5958259,-1.4796345,1.0549425,0.4939804,7.5958259,-10.24477,2.0348182,0.4906836,123348.2195736,-32753.202933,-32763.0363917,-32749.0496535,0.4461247,123348.2195736,-36110.4913394,-36114.8344429,-36103.4645093,0.2463258,123348.2195736,-54474.6792743,-54463.223088,-54477.78526
BABA,0.9431114,0.978659,2.3025165,0.8957635,1.0919502,2.5175417,0.9718621,1.0861813,2.5903511,0.2943176,1.0838742,2.8675191,0.3080822,1.0957029,2.4610615,0.0584314,0.978659,2.3025165,0.0916292,1.0919502,2.5175417,0.1294143,1.0861813,2.5903511,0.02076,1.0838742,2.8675191,0.0697904,1.0957029,2.4610615,0.913903,0.978659,2.3025165,0.8477203,1.0919502,2.5175417,0.8899992,1.0861813,2.5903511,0.5748397,1.0838742,2.8675191,0.4210464,1.0957029,2.4610615,0.3259614,0.978659,2.3025165,0.30334,1.0919502,2.5175417,0.3868045,1.0861813,2.5903511,0.2898725,1.0838742,2.8675191,0.3691683,1.0957029,2.4610615,0.4265108,0.978659,2.3025165,0.8331572,1.0919502,2.5175417,0.9271965,1.0861813,2.5903511,0.8747677,1.0838742,2.8675191,0.9002225,1.0957029,2.4610615,0.8817411,8.1463993,1.6317086,-14.2251077,0.7813494,8.1463993,3.0397028,-1.3139519,0.6168114,8.1463993,5.372093,-6.9318563,0.1458283,-131765.0589632,65829.6157766,65824.0420388,65832.1187727,0.0858009,-131765.0589632,79815.5057369,79822.3952293,79816.2183767,0.7694307,-131765.0589632,-13876.6716211,-13881.6818553,-13879.3431828
BHP,0.3486972,0.9256488,3.9887366,0.3229333,0.9624415,4.3354726,0.3713946,0.9592555,4.3211029,0.4619172,0.9682623,3.2487647,0.4631314,0.9732915,3.5262602,0.5160681,0.9256488,3.9887366,0.7169629,0.9624415,4.3354726,0.6607074,0.9592555,4.3211029,0.848608,0.9682623,3.2487647,0.0768952,0.9732915,3.5262602,0.8606692,0.9256488,3.9887366,0.8871439,0.9624415,4.3354726,0.6969255,0.9592555,4.3211029,0.7998845,0.9682623,3.2487647,0.886938,0.9732915,3.5262602,0.9354273,0.9256488,3.9887366,0.9755877,0.9624415,4.3354726,0.9675811,0.9592555,4.3211029,0.7651737,0.9682623,3.2487647,0.862862,0.9732915,3.5262602,0.9391476,0.9256488,3.9887366,0.9804688,0.9624415,4.3354726,0.6223225,0.9592555,4.3211029,0.5079297,0.9682623,3.2487647,0.6689821,0.9732915,3.5262602,0.5294944,3.9151334,-1.088005,-0.2804264,0.2170955,3.9151334,-2.1479297,1.0786211,0.3524935,3.9151334,-1.6145623,-0.3434687,0.3183164,-9834.0371472,6407.017061,6406.9725363,6406.7127359,0.1031154,-9834.0371472,10443.6596378,10442.6657931,10443.0980088,0.271048,-9834.0371472,-7011.823019,-7012.3149368,-7013.1728629
BLK,0.9950036,0.9855708,12.6391604,0.6094627,0.9668758,12.9279137,0.3534327,0.9670516,12.7767941,0.3111363,0.9668933,12.9769925,0.4173662,0.9730662,13.7542052,0.5892378,0.9855708,12.6391604,0.3599507,0.9668758,12.9279137,0.484108,0.9670516,12.7767941,0.5855489,0.9668933,12.9769925,0.6504461,0.9730662,13.7542052,0.6532548,0.9855708,12.6391604,0.4726753,0.9668758,12.9279137,0.3237062,0.9670516,12.7767941,0.2805421,0.9668933,12.9769925,0.3508401,0.9730662,13.7542052,0.8778191,0.9855708,12.6391604,0.8375403,0.9668758,12.9279137,0.9450722,0.9670516,12.7767941,0.8710526,0.9668933,12.9769925,0.8800393,0.9730662,13.7542052,0.5877938,0.9855708,12.6391604,0.7545877,0.9668758,12.9279137,0.6843469,0.9670516,12.7767941,0.7569029,0.9668933,12.9769925,0.925623,0.9730662,13.7542052,0.8460288,9.934989,4.6797876,-7.4040536,0.6133288,9.934989,12.0580279,12.4990433,0.2321577,9.934989,28.5697459,1.6265283,0.583259,56598.8881496,40083.5228784,40089.6895812,40092.9682899,0.4848796,56598.8881496,-50671.7601678,-50688.5987034,-50686.9660041,0.523931,56598.8881496,-46003.2599832,-45987.1162521,-45982.5452794
BP,0.3770544,0.9922269,0.33547,0.0876375,1.0388933,0.39714,0.1355184,1.0431389,0.3120912,0.2937919,1.0407254,0.3852733,0.1693018,1.0353207,0.4850304,0.1581193,0.9922269,0.33547,0.1289869,1.0388933,0.39714,0.0777578,1.0431389,0.3120912,0.1391675,1.0407254,0.3852733,0.178698,1.0353207,0.4850304,0.6099411,0.9922269,0.33547,0.373322,1.0388933,0.39714,0.6427776,1.0431389,0.3120912,0.7044359,1.0407254,0.3852733,0.621896,1.0353207,0.4850304,0.6719018,0.9922269,0.33547,0.8424666,1.0388933,0.39714,0.909842,1.0431389,0.3120912,0.914647,1.0407254,0.3852733,0.6353023,1.0353207,0.4850304,0.9444581,0.9922269,0.33547,0.652478,1.0388933,0.39714,0.8548537,1.0431389,0.3120912,0.9269412,1.0407254,0.3852733,0.907333,1.0353207,0.4850304,0.1528005,0.8111159,1.1320395,-0.9005969,0.0411019,0.8111159,-1.6055706,-0.4698593,0.4617132,0.8111159,-0.5936448,0.657145,0.2492163,3276.4707484,-2944.6383235,-2944.4134258,-2944.4962807,0.9064798,3276.4707484,299.1415377,298.8399957,298.7535708,0.803613,3276.4707484,-630.5636841,-630.6942538,-630.5030751
BRK-A,0.8770542,0.9532025,22772.2972693,0.7116396,1.0667078,25335.7657569,0.7423641,1.0685754,23921.5714904,0.8762974,1.0720096,25838.2041825,0.8168777,1.06819,27842.9119901,0.7271099,0.9532025,22772.2972693,0.7007292,1.0667078,25335.7657569,0.1796411,1.0685754,23921.5714904,0.3072281,1.0720096,25838.2041825,0.4320973,1.06819,27842.9119901,0.6834769,0.9532025,22772.2972693,0.7436277,1.0667078,25335.7657569,0.819472,1.0685754,23921.5714904,0.930122,1.0720096,25838.2041825,0.950904,1.06819,27842.9119901,0.7027727,0.9532025,22772.2972693,0.353389,1.0667078,25335.7657569,0.2604955,1.0685754,23921.5714904,0.2768747,1.0720096,25838.2041825,0.3630151,1.06819,27842.9119901,0.9318454,0.9532025,22772.2972693,0.1450127,1.0667078,25335.7657569,0.1915596,1.0685754,23921.5714904,0.2122446,1.0720096,25838.2041825,0.25052,1.06819,27842.9119901,0.9994477,30307.9434479,5.8521551,3886.3509125,0.8041912,30307.9434479,2092.1435469,4313.6661626,0.1403336,30307.9434479,-12455.7393706,12328.8924224,0.8089995,2189793.0870781,7044122.148228,7046229.9410299,7043788.4970655,0.9261497,2189793.0870781,-2824646.6400139,-2824733.3311964,-2833281.9565038,0.8336087,2189793.0870781,-6386402.4689931,-6379331.9078796,-6385248.2957078
BUD,0.1239277,0.9074035,5.4478712,0.2310523,0.9516854,5.4195114,0.1886333,0.9496592,6.2828756,0.2293234,0.9505372,6.2357994,0.374706,0.9605999,6.6912625,0.3906229,0.9074035,5.4478712,0.7182753,0.9516854,5.4195114,0.166548,0.9496592,6.2828756,0.1304099,0.9505372,6.2357994,0.1156131,0.9605999,6.6912625,0.898677,0.9074035,5.4478712,0.3766185,0.9516854,5.4195114,0.6284816,0.9496592,6.2828756,0.0842918,0.9505372,6.2357994,0.1468289,0.9605999,6.6912625,0.3115249,0.9074035,5.4478712,0.2984034,0.9516854,5.4195114,0.1559925,0.9496592,6.2828756,0.2051024,0.9505372,6.2357994,0.2293263,0.9605999,6.6912625,0.3704814,0.9074035,5.4478712,0.0107106,0.9516854,5.4195114,0.0134601,0.9496592,6.2828756,0.0130832,0.9505372,6.2357994,0.0247352,0.9605999,6.6912625,0.157354,7.5134207,-2.3275885,-0.0691904,0.379985,7.5134207,1.4584488,-0.3671697,0.5787481,7.5134207,-0.908322,-1.9387402,0.0648589,3888.7647946,9044.8648488,9045.1234261,9046.2323072,0.0036312,3888.7647946,-14366.6427125,-14366.8780602,-14364.7399142,0.7736781,3888.7647946,1439.3794214,1440.5308686,1438.8629657
C,0.0665072,1.0011018,0.1310129,0.0172812,0.9753844,0.1143588,0.0451318,0.9727539,0.0918933,0.0962824,0.976372,0.1213465,0.0924265,0.9739881,0.1751749,0.3651512,1.0011018,0.1310129,0.4619287,0.9753844,0.1143588,0.5256562,0.9727539,0.0918933,0.3833972,0.976372,0.1213465,0.4587497,0.9739881,0.1751749,0.4241907,1.0011018,0.1310129,0.6955174,0.9753844,0.1143588,0.6345261,0.9727539,0.0918933,0.6891432,0.976372,0.1213465,0.6554953,0.9739881,0.1751749,0.6980251,1.0011018,0.1310129,0.9118614,0.9753844,0.1143588,0.7893392,0.9727539,0.0918933,0.8779704,0.976372,0.1213465,0.4443794,0.9739881,0.1751749,0.1930062,1.0011018,0.1310129,0.3863202,0.9753844,0.1143588,0.4376225,0.9727539,0.0918933,0.5224871,0.976372,0.1213465,0.4251086,0.9739881,0.1751749,0.0535063,-0.3826756,5.2522415,-0.0598984,0.0139198,-0.3826756,-6.7716111,2.5244267,0.4591959,-0.3826756,-2.002119,-0.3588028,0.7021418,4434.3898136,-2974.6727588,-2974.0222347,-2972.6113649,0.7748398,4434.3898136,-2194.7409083,-2194.6857912,-2195.132177,0.9223437,4434.3898136,735.0467996,733.9947576,734.49808
CAT,0.8548924,1.0104325,-1.1243257,0.9688542,1.0776723,-0.8234978,0.9938379,1.0759215,-0.6786386,0.9919102,1.0797242,-1.4363639,0.9975138,1.0912538,-1.1557502,0.8619859,1.0104325,-1.1243257,0.8862638,1.0776723,-0.8234978,0.9578023,1.0759215,-0.6786386,0.9064831,1.0797242,-1.4363639,0.9540166,1.0912538,-1.1557502,0.4243633,1.0104325,-1.1243257,0.191141,1.0776723,-0.8234978,0.2432547,1.0759215,-0.6786386,0.276931,1.0797242,-1.4363639,0.3866922,1.0912538,-1.1557502,0.8392001,1.0104325,-1.1243257,0.9228788,1.0776723,-0.8234978,0.7691488,1.0759215,-0.6786386,0.8245691,1.0797242,-1.4363639,0.8510611,1.0912538,-1.1557502,0.3109927,1.0104325,-1.1243257,0.2958222,1.0776723,-0.8234978,0.4496479,1.0759215,-0.6786386,0.7184682,1.0797242,-1.4363639,0.7652843,1.0912538,-1.1557502,0.7428494,0.3446268,3.7906715,-1.259801,0.7239952,0.3446268,4.0925994,-2.8543531,0.9155666,0.3446268,1.2280669,-1.7279938,0.7107149,-1287.3892516,-11007.9458119,-11013.1920142,-11016.5197394,0.3897871,-1287.3892516,25708.4417548,25714.278071,25717.4414901,0.652668,-1287.3892516,-13417.1845283,-13411.9429582,-13415.1499427
CCI,0.0824935,0.9865991,1.2360434,0.2059413,1.045618,1.3958622,0.1788342,1.0420652,1.4937854,0.1193087,1.0401078,1.545485,0.191327,1.0389869,1.4173324,0.2989626,0.9865991,1.2360434,0.5838194,1.045618,1.3958622,0.6736515,1.0420652,1.4937854,0.7822481,1.0401078,1.545485,0.8822309,1.0389869,1.4173324,0.6856808,0.9865991,1.2360434,0.9690845,1.045618,1.3958622,0.7048554,1.0420652,1.4937854,0.6983654,1.0401078,1.545485,0.3623123,1.0389869,1.4173324,0.2489351,0.9865991,1.2360434,0.3793885,1.045618,1.3958622,0.0826827,1.0420652,1.4937854,0.127226,1.0401078,1.545485,0.1524364,1.0389869,1.4173324,0.3375531,0.9865991,1.2360434,0.2956699,1.045618,1.3958622,0.2362407,1.0420652,1.4937854,0.3872723,1.0401078,1.545485,0.3885434,1.0389869,1.4173324,0.0507103,1.2730175,5.765917,-2.971574,0.6215095,1.2730175,1.4627562,-0.9510526,0.1490391,1.2730175,-3.7074745,1.9115222,0.4311005,-25559.4214191,8479.4411453,8480.6680318,8478.001028,0.7853214,-25559.4214191,-2919.0919742,-2919.1009326,-2917.3647003,0.062724,-25559.4214191,20001.7069869,19998.6699135,20001.6789668
CHTR,0.1507799,0.9883033,2.9848448,0.3678287,1.0067811,3.0949947,0.5389474,1.0063448,2.967204,0.6368244,1.0088602,3.0138467,0.8749483,1.0050031,1.8336652,0.7138079,0.9883033,2.9848448,0.0495045,1.0067811,3.0949947,0.1198431,1.0063448,2.967204,0.0913782,1.0088602,3.0138467,0.142778,1.0050031,1.8336652,0.3983647,0.9883033,2.9848448,0.6417142,1.0067811,3.0949947,0.7481128,1.0063448,2.967204,0.8483173,1.0088602,3.0138467,0.9307425,1.0050031,1.8336652,0.5577238,0.9883033,2.9848448,0.4469134,1.0067811,3.0949947,0.5258212,1.0063448,2.967204,0.7380582,1.0088602,3.0138467,0.4869567,1.0050031,1.8336652,0.925614,0.9883033,2.9848448,0.592668,1.0067811,3.0949947,0.418552,1.0063448,2.967204,0.5973803,1.0088602,3.0138467,0.4495372,1.0050031,1.8336652,0.1438248,-0.878039,27.7019011,-4.0892081,0.3578795,-0.878039,-17.5020151,24.5705323,0.6114848,-0.878039,-9.7050909,-2.0691711,0.7889246,63616.3598299,-11574.6532736,-11580.1949663,-11581.3491684,0.9739996,63616.3598299,-1408.8812816,-1412.4701388,-1404.792739,0.244226,63616.3598299,-50624.7500733,-50624.4133643,-50614.8050585
CMCSA,0.7906007,0.9806541,0.6348492,0.6835157,0.9226464,0.5440383,0.4869737,0.9191329,0.5063118,0.6242936,0.9223046,0.5531385,0.6788252,0.917455,0.6003095,0.8429541,0.9806541,0.6348492,0.5932684,0.9226464,0.5440383,0.7833476,0.9191329,0.5063118,0.9006261,0.9223046,0.5531385,0.4335919,0.917455,0.6003095,0.2348714,0.9806541,0.6348492,0.3791215,0.9226464,0.5440383,0.5262069,0.9191329,0.5063118,0.4693306,0.9223046,0.5531385,0.3395527,0.917455,0.6003095,0.0908769,0.9806541,0.6348492,0.2868805,0.9226464,0.5440383,0.1919898,0.9191329,0.5063118,0.2626513,0.9223046,0.5531385,0.3853374,0.917455,0.6003095,0.3870018,0.9806541,0.6348492,0.8606426,0.9226464,0.5440383,0.3745877,0.9191329,0.5063118,0.4154134,0.9223046,0.5531385,0.2585944,0.917455,0.6003095,0.5142023,0.6369762,0.6787691,-0.2882277,0.8705303,0.6369762,-0.169606,-0.5135012,0.0968928,0.6369762,-1.7198421,0.666159,0.6285691,-3189.6303498,1615.0488154,1615.8642891,1615.5187218,0.5930298,-3189.6303498,1776.9973018,1777.4582967,1777.3548059,0.9518654,-3189.6303498,-203.0301602,-202.7616655,-203.6215281
CNI,0.8512052,0.8771775,13.0765892,0.7836044,0.8437938,12.6794561,0.9417792,0.8224711,11.9341612,0.946387,0.8463702,12.0125045,0.9672691,0.8342019,11.373111,0.4132104,0.8771775,13.0765892,0.594481,0.8437938,12.6794561,0.7885708,0.8224711,11.9341612,0.7492059,0.8463702,12.0125045,0.878578,0.8342019,11.373111,0.247943,0.8771775,13.0765892,0.5617976,0.8437938,12.6794561,0.8849888,0.8224711,11.9341612,0.9045331,0.8463702,12.0125045,0.321977,0.8342019,11.373111,0.6227314,0.8771775,13.0765892,0.9252519,0.8437938,12.6794561,0.9425299,0.8224711,11.9341612,0.9611497,0.8463702,12.0125045,0.480759,0.8342019,11.373111,0.606832,0.8771775,13.0765892,0.8396359,0.8437938,12.6794561,0.9619606,0.8224711,11.9341612,0.845119,0.8463702,12.0125045,0.9031557,0.8342019,11.373111,0.9268311,10.9015677,-0.3240254,1.9520022,0.6051351,10.9015677,-1.8607645,0.6747529,0.707015,10.9015677,1.3284883,-0.995694,0.8185213,-13976.434012,-2340.7260942,-2341.6587005,-2341.4975245,0.0588062,-13976.434012,19305.3199404,19305.839054,19305.1496379,0.7732813,-13976.434012,-2974.9543496,-2975.0096323,-2975.5540429
COP,0.3641029,0.9728238,2.8540574,0.5270475,0.9836134,2.9435372,0.5954754,0.9830743,3.0097956,0.7726241,0.982173,2.900246,0.7654017,0.9828619,2.8487676,0.3387699,0.9728238,2.8540574,0.2456927,0.9836134,2.9435372,0.4190567,0.9830743,3.0097956,0.252349,0.982173,2.900246,0.2591547,0.9828619,2.8487676,0.4922345,0.9728238,2.8540574,0.1760477,0.9836134,2.9435372,0.2441752,0.9830743,3.0097956,0.3723813,0.982173,2.900246,0.2446276,0.9828619,2.8487676,0.1456192,0.9728238,2.8540574,0.0281305,0.9836134,2.9435372,0.0251627,0.9830743,3.0097956,0.0435025,0.982173,2.900246,0.0794644,0.9828619,2.8487676,0.039642,0.9728238,2.8540574,0.1057328,0.9836134,2.9435372,0.1363601,0.9830743,3.0097956,0.1657048,0.982173,2.900246,0.1469286,0.9828619,2.8487676,0.5759367,4.0552121,-1.7090474,-1.3002604,0.1545561,4.0552121,4.3311692,-3.0757126,0.3873113,4.0552121,-2.6413579,0.8362104,0.3473344,-12867.3133536,8342.1682845,8342.9216774,8340.212148,0.4839405,-12867.3133536,6212.3578788,6216.8747456,6214.7892961,0.8491483,-12867.3133536,-1686.1940242,-1683.8378198,-1686.1299397
COST,0.8701382,0.9961856,4.9046531,0.969487,1.0219408,5.1278327,0.6299778,1.0204899,5.2403568,0.6369762,1.019144,5.5272712,0.643223,1.0187709,5.5531267,0.1881544,0.9961856,4.9046531,0.2929319,1.0219408,5.1278327,0.4951897,1.0204899,5.2403568,0.6030867,1.019144,5.5272712,0.7206751,1.0187709,5.5531267,0.442413,0.9961856,4.9046531,0.5753311,1.0219408,5.1278327,0.3887754,1.0204899,5.2403568,0.433515,1.019144,5.5272712,0.5762475,1.0187709,5.5531267,0.9962013,0.9961856,4.9046531,0.0049404,1.0219408,5.1278327,0.0042053,1.0204899,5.2403568,0.0097333,1.019144,5.5272712,0.0205021,1.0187709,5.5531267,0.5315323,0.9961856,4.9046531,0.0116324,1.0219408,5.1278327,0.0225647,1.0204899,5.2403568,0.0167492,1.019144,5.5272712,0.0298127,1.0187709,5.5531267,0.6556718,4.5311044,-7.7609343,13.073704,0.5720866,4.5311044,9.8822403,-11.9776087,0.115405,4.5311044,27.4788224,-7.8428947,0.2813289,6329.4290035,56915.0822384,56921.3073097,56930.0482854,0.2852005,6329.4290035,-56131.7884559,-56114.1178124,-56137.5110259,0.8921123,6329.4290035,-7128.3174832,-7116.1264202,-7125.993159
CRM,0.1850677,0.9756494,5.5244743,0.3985202,0.8972374,5.085123,0.1721436,0.9064305,5.4330127,0.2752201,0.9027705,5.6971649,0.4052847,0.9029739,5.5012827,0.690198,0.9756494,5.5244743,0.6605583,0.8972374,5.085123,0.5473118,0.9064305,5.4330127,0.6007887,0.9027705,5.6971649,0.5498687,0.9029739,5.5012827,0.766431,0.9756494,5.5244743,0.9030463,0.8972374,5.085123,0.9433711,0.9064305,5.4330127,0.9868621,0.9027705,5.6971649,0.9228138,0.9029739,5.5012827,0.6971943,0.9756494,5.5244743,0.9266619,0.8972374,5.085123,0.9755074,0.9064305,5.4330127,0.9949603,0.9027705,5.6971649,0.998595,0.9029739,5.5012827,0.8948567,0.9756494,5.5244743,0.9800666,0.8972374,5.085123,0.9843991,0.9064305,5.4330127,0.9943619,0.9027705,5.6971649,0.9594492,0.9029739,5.5012827,0.390133,3.3753157,9.5981215,0.2170248,0.9296654,3.3753157,0.9870717,-4.6380682,0.1108971,3.3753157,17.9297638,1.4339313,0.8722871,-22461.7511374,4681.2787779,4683.9895471,4682.4725809,0.8168116,-22461.7511374,6637.7177319,6637.2199604,6637.536787,0.6970249,-22461.7511374,11145.9854924,11147.8250761,11148.9955234
