Ticker,Sector,const_lag1,L1.AdjClosePrice_lag1,L1.NEWS_FINBERT_Negative_Mean_lag1,L1.NEWS_FINBERT_Positive_Mean_lag1,pvalue_lag1,const_lag2,L1.AdjClosePrice_lag2,L1.NEWS_FINBERT_Negative_Mean_lag2,L1.NEWS_FINBERT_Positive_Mean_lag2,L2.AdjClosePrice_lag2,L2.NEWS_FINBERT_Negative_Mean_lag2,L2.NEWS_FINBERT_Positive_Mean_lag2,pvalue_lag2
BP,Communication Services,0.17776997878050443,-0.04779890173963837,-1.015315484915717,-0.5586811845810865,0.030828711030702543,0.175557596790445,-0.03964333784172958,-0.7692196374392544,-0.7309947370841869,-0.04182301085054438,0.3761241071165322,-0.532637047443624,0.029935534433091382
BRK-A,Consumer Cyclical,1372.4345108868883,0.03633789383114118,1229.6473815538254,3564.544905544019,0.7825112772152091,1797.1654564843666,0.05903205631726839,408.5644370261585,2448.394118002454,-0.18368225419612114,435.05876849946156,-2851.9512580423134,0.9282806284997246
BUD,Financial Services,-0.046739173190034254,0.11720444375475864,-1.4541001719044204,-1.1581146484014782,0.3864905396241923,-0.04065975265854229,0.13212196822013916,-1.8937992241712747,-1.1709434046685554,-0.14239611649345668,-0.5089880259302397,0.26247755807054607,0.6281719751680218
C,Healthcare,0.1984490882470922,-0.025157020529260755,-0.044880535049259165,1.223248806405609,0.307569145049798,0.2019389283104048,-0.04126019910972459,-0.47703024579945674,1.5814591547569397,-0.06862974336550304,-0.6683474753278652,0.798181896057841,0.36924724786246
CAT,Communication Services,2.0593050932243107,0.07260683488806864,5.821732664405083,-2.6837061930630908,0.20407782365341953,1.9536424803638137,0.06517724185427892,7.59914119760357,-1.521486361319481,0.046695202924614466,3.2110262798124,1.4654385042067486,0.4731695018211145
CCI,Technology,-0.7047259029611067,0.0032015571686047767,5.0273182426397565,11.06336766923252,0.05179427854722926,-0.9828618078955089,0.025582230744548268,4.1543021966110585,12.459538348001166,0.08644913167897583,-0.9219240200695842,3.3571034572241065,0.0933445601962527
CHTR,Communication Services,-4.411352254743385,-0.04932627985027957,2.3390184469714494,-14.90871209604163,0.37494777679721225,-3.558685218817348,-0.04080215224323914,-4.68098692671954,-16.85669238864643,0.21230428482235922,-7.1756122430041795,-8.334103101838872,0.7900952783416683
CMCSA,Communication Services,-0.0524952194411754,-0.06495598679008903,-0.050806992232328214,-0.19746523757415033,0.8627866513548651,-0.06203054693104088,-0.0762895905657469,-0.12595315873176705,-0.06204148123348548,-0.05749930813498222,-0.1524358311178459,0.3207238583378831,0.8635966955706647
CNI,Consumer Defensive,0.0451489550037121,-0.09192493130258908,2.9591102217678547,-1.3416504121853075,0.6079185518894793,0.1036810414517119,-0.10543086931583565,5.547061056180948,-1.4847960991902274,-0.2001733274379623,0.9400996766261303,-0.023036528885502117,0.7459963323116052
COP,Consumer Cyclical,0.46403860974616323,-0.07409866136459485,1.926178553532673,-1.4424973593411559,0.08167156496828688,0.48625119316337606,-0.07453932865176317,0.9045787362528328,-2.0458362560094527,-0.06014940679758861,-1.9643358612991784,-1.1533700973115875,0.15826471148277968
