Ticker,Company,Link
RIO,Rio Tinto,https://www.macrotrends.net/stocks/charts/RIO/rio-tinto
SPGI,S&P Global,https://www.macrotrends.net/stocks/charts/SPGI/s-p-global
BTI,British American Tobacco,https://www.macrotrends.net/stocks/charts/BTI/british-american-tobacco
HCA,HCA Healthcare,https://www.macrotrends.net/stocks/charts/HCA/hca-healthcare
GSK,GSK,https://www.macrotrends.net/stocks/charts/GSK/gsk
PGR,Progressive,https://www.macrotrends.net/stocks/charts/PGR/progressive
BN,Brookfield,https://www.macrotrends.net/stocks/charts/BN/brookfield
ENB,Enbridge Inc,https://www.macrotrends.net/stocks/charts/ENB/enbridge-inc
PANW,Palo Alto Networks,https://www.macrotrends.net/stocks/charts/PANW/palo-alto-networks
GLW,Corning,https://www.macrotrends.net/stocks/charts/GLW/corning
MCK,McKesson,https://www.macrotrends.net/stocks/charts/MCK/mckesson
CMCSA,Comcast,https://www.macrotrends.net/stocks/charts/CMCSA/comcast
MO,Altria,https://www.macrotrends.net/stocks/charts/MO/altria
SNY,Sanofi,https://www.macrotrends.net/stocks/charts/SNY/sanofi
NOW,ServiceNow,https://www.macrotrends.net/stocks/charts/NOW/servicenow
INTU,Intuit,https://www.macrotrends.net/stocks/charts/INTU/intuit
BSX,Boston Scientific,https://www.macrotrends.net/stocks/charts/BSX/boston-scientific
IBN,ICICI Bank,https://www.macrotrends.net/stocks/charts/IBN/icici-bank
CME,CME Group,https://www.macrotrends.net/stocks/charts/CME/cme-group
AEM,Agnico Eagle Mines,https://www.macrotrends.net/stocks/charts/AEM/agnico-eagle-mines
ADBE,Adobe,https://www.macrotrends.net/stocks/charts/ADBE/adobe
CRWD,CrowdStrike,https://www.macrotrends.net/stocks/charts/CRWD/crowdstrike
SBUX,Starbucks,https://www.macrotrends.net/stocks/charts/SBUX/starbucks
SO,Southern,https://www.macrotrends.net/stocks/charts/SO/southern
CEG,Constellation Energy,https://www.macrotrends.net/stocks/charts/CEG/constellation-energy
TT,Trane Technologies,https://www.macrotrends.net/stocks/charts/TT/trane-technologies
ITUB,Itau Unibanco Holding S.A,https://www.macrotrends.net/stocks/charts/ITUB/itau-unibanco-holding-sa
UPS,UPS,https://www.macrotrends.net/stocks/charts/UPS/ups
MELI,MercadoLibre,https://www.macrotrends.net/stocks/charts/MELI/mercadolibre
HWM,Howmet Aerospace,https://www.macrotrends.net/stocks/charts/HWM/howmet-aerospace
CVS,CVS Health,https://www.macrotrends.net/stocks/charts/CVS/cvs-health
