"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"EXEL","Exelixis Inc.","30161Q104","2576941",0.00341360409484949,"Health Care",1960468,"USD"
"SCI","Service Corporation International","817565104","2797560",0.00340657972043151,"Consumer Discretionary",1025023,"USD"
"JAZZ","Jazz Pharmaceuticals Public Limited Company","G50871105","B4Q5ZN4",0.00338856023483703,"Health Care",444323,"USD"
"WBS","Webster Financial Corporation","947890109","2945143",0.00338683689477179,"Financials",1179373,"USD"
"FHN","First Horizon Corporation","320517105","2341484",0.00337594256371606,"Financials",3600452,"USD"
"SF","Stifel Financial Corp","860630102","2849234",0.00334527517296439,"Financials",1116871,"USD"
"PINS","Pinterest Inc. Class A","72352L106","BJ2Z0H2",0.00333337304070092,"Communication Services",4356847,"USD"
"EQH","Equitable Holdings Inc.","29452E101","BKRMR96",0.00328394039146103,"Financials",2095158,"USD"
"NTNX","Nutanix Inc. Class A","67059N108","BYQBFT8",0.00327682531493435,"Information Technology",1980024,"USD"
"ARMK","Aramark","03852U106","BH3XG17",0.0032507031076296,"Consumer Discretionary",1922000,"USD"
"DY","Dycom Industries Inc.","267475101","2289841",0.00319891220356359,"Industrials",211718,"USD"
"EVR","Evercore Inc. Class A","29977A105","B1BHXZ2",0.00319599965807321,"Financials",282822,"USD"
"ALLY","Ally Financial Inc","02005N100","B72XK05",0.00319376233939201,"Financials",2049796,"USD"
"BLD","TopBuild Corp.","89055F103","BZ0P3W2",0.00314910666787683,"Consumer Discretionary",204091,"USD"
"RRC","Range Resources Corporation","75281A109","2523334",0.003141971435326,"Energy",1732506,"USD"
"SPXC","SPX Technologies Inc.","78473E103","BQ1L7V3",0.00312323641087402,"Industrials",364406,"USD"
"EHC","Encompass Health Corporation","29261A100","BYX2YJ7",0.00312093862412036,"Health Care",735719,"USD"
"DCI","Donaldson Company Inc.","257651109","2276467",0.00311574844790048,"Industrials",846974,"USD"
"GME","GameStop Corp. Class A","36467W109","B0LLFT5",0.0031132793349415,"Consumer Discretionary",3013156,"USD"
"EGP","EastGroup Properties Inc.","277276101","2455761",0.00310369514545585,"Real Estate",389434,"USD"
"WMS","Advanced Drainage Systems Inc.","00790R104","BP7RS59",0.0030760511583274,"Industrials",523134,"USD"
"MEDP","Medpace Holdings Inc.","58506Q109","BDCBC61",0.00305451444651789,"Health Care",162717,"USD"
"AIT","Applied Industrial Technologies Inc.","03820C105","2086309",0.00303136525277599,"Industrials",275799,"USD"
"RMBS","Rambus Inc.","750917106","2721967",0.00298889650988162,"Information Technology",787151,"USD"
"OGE","OGE Energy Corp.","670837103","2657802",0.0029818015893791,"Utilities",1473104,"USD"
"FLS","Flowserve Corporation","34354P105","2288406",0.00297507955532344,"Industrials",929490,"USD"
"CNH","CNH Industrial NV","N20944109","BDX85Z1",0.00294200351968525,"Industrials",6470857,"USD"
"OSK","Oshkosh Corp","688239201","2663520",0.00293149215308847,"Industrials",462520,"USD"
"GMED","Globus Medical Inc Class A","379577208","B7D65M0",0.00291169893736836,"Health Care",814639,"USD"
"TTMI","TTM Technologies Inc.","87305R109","2635659",0.0028932662532787,"Information Technology",755572,"USD"
"BAH","Booz Allen Hamilton Holding Corporation Class A","099502106","B5367T7",0.00289261118249367,"Industrials",886966,"USD"
"DOCU","DocuSign Inc.","256163106","BFYT7B7",0.00289070643821103,"Information Technology",1470499,"USD"
"AMH","American Homes 4 Rent Class A","02665T306","BCF5RR9",0.00288550618397907,"Real Estate",2383856,"USD"
"TTC","Toro Company","891092108","2897040",0.00287511575352722,"Industrials",715581,"USD"
"AHR","American Healthcare REIT Inc.","398182303","BQWNKQ4",0.0028520169498457,"Real Estate",1293576,"USD"
"GTLS","Chart Industries Inc.","16115Q308","B19HNF4",0.00282764831664243,"Industrials",323141,"USD"
"ADC","Agree Realty Corporation","008492100","2062161",0.00282665059344676,"Real Estate",838993,"USD"
"ORI","Old Republic International Corporation","680223104","2659109",0.00281611907082583,"Financials",1664634,"USD"
"SSB","SouthState Bank Corporation","84472E102","BVDCQB2",0.00281160412141513,"Financials",734976,"USD"
