WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2023-06-09,CVX,48842000000.0,6574000000.0,7721000000.0,13265000000.0,159449000000.0,255886000000.0,23206000000.0,48351000000.0,33735000000.0,46862340336.687,6010447856.640332,6269873652.69346,11593993244.798311,157801802113.11838,251325044338.14664,21926609412.214138,43880579988.82198,30258081936.7175
2023-06-16,CVX,48842000000.0,6574000000.0,7721000000.0,13265000000.0,159449000000.0,255886000000.0,23206000000.0,48351000000.0,33735000000.0,46912045770.362045,5982087079.93365,6229834212.024003,11511731023.63818,157876972178.88184,251299326568.74442,21783484256.396877,43475792421.023895,30043098934.534664
2023-06-23,CVX,48842000000.0,6574000000.0,7721000000.0,13265000000.0,159449000000.0,255886000000.0,23206000000.0,48351000000.0,33735000000.0,47028151558.867004,5980159210.278479,6242416532.459291,11482591790.804842,158047093559.68668,251443046213.86115,21645305493.841007,43109682813.42036,29901931097.952213
2023-06-30,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0
2023-07-07,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,47477885891.95874,6074582595.334361,6455515065.692355,11617337660.510967,158717917334.47015,252320842543.2355,21391153173.602497,42522375071.84704,29886462646.265656
2023-07-14,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,47803914034.539474,6167429718.161554,6652096440.764776,11775817003.967518,159210639758.4703,253045660017.92767,21276984506.47782,42303968148.42794,30011417772.56794
2023-07-21,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,48181141727.93808,6279701484.27253,6893429901.491228,11976607817.585043,159782353557.55478,253921396488.0075,21171372013.73048,42129821606.30478,30208699547.283382
2023-07-28,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,48596626272.35044,6402558009.458242,7167201224.145678,12204879888.578938,160412245017.278,254915996017.40634,21074193710.464966,41994977822.0396,30465142138.78853
2023-08-04,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,49037424967.97242,6527159409.509643,7461096185.002089,12445803004.164587,161079500423.19427,255997402670.05542,20985327611.785778,41894479172.19443,30767579715.459915
2023-08-11,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,49490595114.999916,6644665800.217687,7762800560.334431,12684546951.557384,161763306060.85803,257133560509.88586,20904651732.79742,41823368033.331345,31102846445.674072
2023-08-18,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,49943194013.62878,6746237297.373323,8060000126.416669,12906281517.972723,162442848215.8236,258292413600.82895,20832044088.60439,41776686782.01239,31457776497.807537
2023-08-25,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,50382278964.05489,6823034016.76751,8340380659.522767,13096176490.625992,163097313173.64536,259441906006.81583,20767382694.311184,41749477794.79959,31819204040.23686
2023-09-01,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,50794907266.474144,6866216074.191195,8591627935.926691,13239401656.732584,163705887219.8777,260549981791.77774,20710545565.0223,41736783448.25503,32173963241.338566
2023-09-08,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,51168136221.082405,6866943585.435335,8801427731.902412,13321126803.507889,164247756640.07495,261584585019.64594,20661410715.842243,41733646118.940735,32508888269.489197
2023-09-15,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,51489023128.075554,6816376666.290878,8957465823.723894,13326521718.167301,164702107719.7915,262513659754.35156,20619856161.875507,41735108183.41877,32810813293.065285
2023-09-22,CVX,47216000000.0,6010000000.0,6316000000.0,11516000000.0,158325000000.0,251779000000.0,21514000000.0,42790000000.0,29847000000.0,51744625287.64945,6705675432.548784,9047427987.665102,13240756187.926207,165048126744.58176,263305150059.82584,20585759918.226593,41736212018.251175,33066572480.44338
2023-09-29,CVX,51922000000.0,6526000000.0,9059000000.0,13049000000.0,165265000000.0,263927000000.0,20559000000.0,41732000000.0,33263000000.0,51922000000.0,6526000000.0,9059000000.0,13049000000.0,165265000000.0,263927000000.0,20559000000.0,41732000000.0,33263000000.0
2023-10-06,CVX,51922000000.0,6526000000.0,9059000000.0,13049000000.0,165265000000.0,263927000000.0,20559000000.0,41732000000.0,33263000000.0,52011715150.1422,6272319123.502234,8983934109.206093,12742362280.297464,165338329407.81607,264356094774.4135,20539460237.70804,41718511418.077614,33390494461.352573
2023-10-13,CVX,51922000000.0,6526000000.0,9059000000.0,13049000000.0,165265000000.0,263927000000.0,20559000000.0,41732000000.0,33263000000.0,52018380962.36761,5954836114.180214,8830248452.575018,12335709509.500952,165279379434.6611,264605084125.03888,20527047723.49428,41695773213.29762,33453712239.08197
