WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2021-08-13,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,14165614457.476608,1418872043.1586225,4333803158.74993,4635112982.649703,12732012125.892464,148242958687.18503,81376803795.55339,27256151510.809452,27450618040.475433
2021-08-20,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,14180985037.83347,1668749826.0879245,4312757793.62341,4896269771.409672,12819902106.59082,148358724181.5185,81292721464.44737,27540906289.77575,27407857962.117798
2021-08-27,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,14196276412.928514,1934451202.7270284,4294865316.5171833,5172560093.934455,12920406383.498852,148476524966.01282,81211370603.1822,27825358527.00708,27423477838.013336
2021-09-03,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,14213501576.776707,2206795830.4596615,4281648691.680095,5453412101.280324,13031749464.868439,148589559376.64243,81129191544.77309,28101334462.870895,27501926910.125237
2021-09-10,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,14234673523.392996,2476603366.669549,4274630883.36099,5728253944.503544,13152155858.951464,148691025749.38156,81042624622.23515,28360660337.734642,27647654420.41667
2021-09-17,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,14261805246.79234,2734693468.7404175,4275334855.808709,5986513774.660385,13279850073.999811,148774122420.20465,80948110168.58357,28595162391.965775,27865109610.85083
2021-09-24,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,14296909740.989689,2971885794.0559916,4285283573.272098,6217619742.807115,13413056618.265362,148832047725.08603,80842088516.83347,28796666865.931744,28158741723.390877
2021-10-01,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0
2021-10-08,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14398239318.137762,3349171028.4695697,4338472678.837637,6558881189.613331,13689153035.408798,148846696890.56357,80581930779.00888,29069969064.042145,28988890012.35487
2021-10-15,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14463392190.915619,3484794959.4154387,4381552467.015743,6664683924.293474,13829981772.509584,148798933280.96408,80424550326.42815,29137305445.946373,29513642650.98615
2021-10-22,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14534373414.145737,3590583157.301748,4433555800.361429,6734627309.004822,13972200567.273373,148717023365.03165,80249173942.73637,29162721563.105022,30091045136.137974
2021-10-29,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14608097783.640295,3671246986.592638,4492799114.70181,6774930448.71176,14115523775.67118,148603281336.59625,80056116928.41214,29149929832.91044,30704884688.054512
2021-11-05,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14681480095.211472,3731497811.7522497,4557598845.8639965,6791812448.378679,14259665753.674025,148460021389.48795,79845694583.934,29102642672.75496,31338948526.979904
2021-11-12,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14751435144.671436,3776046997.244724,4626271429.675103,6791492412.969968,14404340857.252918,148289557717.53668,79618222209.78061,29024572500.03093,31977023873.158306
2021-11-19,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14814877727.832367,3809605907.5342016,4697133301.962239,6780189447.450015,14549263442.378883,148094204514.57266,79374015106.43051,28919431732.13069,32602897946.833866
2021-11-26,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14868722640.506435,3836885907.0848217,4768500898.552519,6764122656.783209,14694147865.022928,147876275974.42575,79113388574.3623,28790932786.446583,33200357968.25073
2021-12-03,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14909884678.50582,3862598360.3607264,4838690655.273054,6749511145.933939,14838708481.156076,147638086290.9261,78836657914.05455,28642788080.37095,33753191157.653057
2021-12-10,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14935278637.642694,3891454631.8260555,4906019007.950957,6742574019.866595,14982659646.749342,147381949657.9036,78544138425.98587,28478710031.296135,34245184735.285004
2021-12-17,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14941819313.72923,3928166085.9449515,4968802392.4133415,6749530383.545563,15125715717.77374,147110180269.18845,78236145410.63481,28302411056.61448,34660125921.39071
2021-12-24,ABBV,14342000000.0,3179000000.0,4306000000.0,6411000000.0,13550000000.0,148858000000.0,80721000000.0,28957000000.0,28533000000.0,14926421502.577608,3977444087.181552,5025357244.487318,6776599341.935236,15267591050.200285,146825092318.61053,77912994168.48001,28117603573.71832,34981801936.214325
2021-12-31,ABBV,14886000000.0,4044000000.0,5074000000.0,6830000000.0,15408000000.0,146529000000.0,77575000000.0,27928000000.0,35194000000.0,14886000000.0,4044000000.0,5074000000.0,6830000000.0,15408000000.0,146529000000.0,77575000000.0,27928000000.0,35194000000.0
2022-01-07,ABBV,14886000000.0,4044000000.0,5074000000.0,6830000000.0,15408000000.0,146529000000.0,77575000000.0,27928000000.0,35194000000.0,14818770650.219473,4130662991.480834,5113273160.624688,6913575456.339169,15546344266.113777,146224435822.81732,77223161031.69438,27737218597.553566,35285927330.035194
2022-01-14,ABBV,14886000000.0,4044000000.0,5074000000.0,6830000000.0,15408000000.0,146529000000.0,77575000000.0,27928000000.0,35194000000.0,14728153491.102674,4232733439.170189,5142623491.41944,7021664784.091752,15680774919.362051,145914805559.04514,76861206694.14655,27548501007.27987,35268471131.780624
2022-01-21,ABBV,14886000000.0,4044000000.0,5074000000.0,6830000000.0,15408000000.0,146529000000.0,77575000000.0,27928000000.0,35194000000.0,14618869608.927143,4343629523.230598,5161723823.288499,7146231050.031678,15809130373.53514,145603733296.29654,76493549243.96097,27364994714.781464,35157938607.740265
2022-01-28,ABBV,14886000000.0,4044000000.0,5074000000.0,6830000000.0,15408000000.0,146529000000.0,77575000000.0,27928000000.0,35194000000.0,14495640089.970417,4456769423.8245945,5170246987.136112,7279237320.932882,15929249042.423353,145294843122.18478,76124600937.74203,27189847205.660892,34970636960.418144
2022-02-04,ABBV,14886000000.0,4044000000.0,5074000000.0,6830000000.0,15408000000.0,146529000000.0,77575000000.0,27928000000.0,35194000000.0,14363186020.510035,4565571321.114711,5167865813.866525,7412646663.569297,16038969339.817009,144991759124.32285,75758774032.0942,27026205965.52073,34722873392.318245
